0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.005,0.005,0.003,0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.012,0.021,0.023,0.016,0.007,0.002,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.015,0.044,0.082,0.097,0.073,0.035,0.011,0.002,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.008,0.041,0.131,0.267,0.344,0.282,0.147,0.049,0.010,0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.018,0.097,0.336,0.740,1.036,0.921,0.520,0.187,0.042,0.006,0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.001,0.003,0.005,0.005,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.033,0.193,0.729,1.743,2.649,2.555,1.566,0.609,0.151,0.024,0.002,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.002,0.007,0.016,0.023,0.021,0.012,0.005,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.051,0.329,1.344,3.489,5.752,6.022,4.004,1.690,0.453,0.077,0.008,0.001,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.002,0.011,0.035,0.073,0.097,0.082,0.044,0.015,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.068,0.475,2.106,5.931,10.610,12.052,8.695,3.984,1.159,0.214,0.025,0.002,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.001,0.010,0.049,0.147,0.282,0.344,0.267,0.131,0.041,0.008,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.077,0.582,2.802,8.564,16.622,20.489,16.038,7.973,2.517,0.505,0.064,0.005,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.001,0.006,0.042,0.187,0.520,0.921,1.036,0.740,0.336,0.097,0.018,0.002,0.000,0.000,0.000,0.000,0.000,0.006,0.074,0.606,3.167,10.503,22.119,29.584,25.127,13.554,4.643,1.010,0.140,0.012,0.001,0.000,0.000,0.000,0.000,0.000,0.000
